,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
25,stem,ontario,littl,citi,healthcar,bother,licens,convers,racism,polic,wast,allenskillicorn,"

wa",realcandaceo,repeal,25,idiot,gunsafeti,⁦randcorporation⁩,cash,amend,bill,prone,nippl,murder,specif,diamondandsilk,unaccept,zone,nonsens,"resource
gun",,prevent,mattgallowaycbc,america,🙄🙄,research,law,adminestratiom,"🌥️　　

🏢😳😖😞🏟️
🏛️😕😮😓🏨
⛲😖😞🙁🏟️
⛲🤔😫😓🏬
🏗️😐😖😞🌴
🏦😑😲😢🏟️
🏟️😵😑😓🏬
🏛️😥🙄😢🏗️
🏛️😮😧😠🏛️
🏦😕😣😡🏗️
allow",thank,nra,chicago,disast,beauti,🌊vote💙🙏🌊vot,🤨😒,theyoungpeoplewillwin,f—k,fordnat
26,violenc,canadian,tragedi,die,shoot,prison,zone,gsu18,chief,ban,legal,ad,pitbul,student,noth,governor,law,sanctuari,fix,problem,nra,mine,talk,forget,the…,savejersey,cant,tough,victim,sendeanhel,aftermath,third,dealer,hash,freedommo,chicago,fordnat,youth,solut,issu,resist,👍🏻,gun,toronto,wait,"👏👏👏👏👏👏👏👏👏👏🇺🇸🇺🇸🇺🇸🇺🇸🗽🗽🗽🗽🗽
momsdemand",waynedupreeshow,power,realcandaceo,
27,shot,late,attitud,mass,affair,supremacist,fuckwhit,firearm,quick,recent,strict,violenc,young,us,huge,terribl,endgunviol,guncontrolnow,kill,control,shoot,ammo,🙏🏾,blame,polic,law,canpoli,"a

uspoli",yo,said,chang,momsdemand,nra,nhlblackhawk,loucanelli,well,sick,list,"amen
w",doesnt,,gun,everywher,it’,❤️,chicago,dmv,cmon,expectu,alreadi
28,fordnat,violenc,senat,swat,,poverti,aspir,polic,prevent,momsdemand,democrat,math,kid,tonelocnv,jkline34,waveintern,plagu,past,vote,aalayaheastmond,lost,politician,statement,blacklivesmatt,justice4mikebrown,72,kudo,joniernst,disaster‼️,"you

walkaway
walkawaycampaign
walkawaynow
walkawayfromdemocrats
walkawaymovement…",mom,guy,potu,nra,pay,man,waveedfund,invest,adlnat,shoot,gun,wake,aliv,😁😁😁😁😁,notonemor,secondladi,power,onpoli,govrickett,chicago
29,age,shoot,outsh,realcandaceo,sad,money,begin,joniernst,receiv,garnerforest,fli,affect,safeschoolspro1,sc,democrat,help,bodi,guncontrolnow,endgunviol,flauj,putthesdown,beneath,radar,theme,pierrevonwong,kill,control,btl,👏😊✊,sens,creat,repres,winning entri,aw,street,dloesch,senjoniernst,🇺🇸,marksteynonlin,democraci,foxnew,liar,backyard,horribl,chicago,nra,visit,expectu,screw,kid
30,blame,pant,dloesch,spend,forc,michaeltibollo,ingrahamangl,31,joniernst,endgunviol,blackenterpris,timeforchang,webuyblackcom,webuyblacku,banassaultweapon,depend,realcandaceo,rhyme,trigger,dogwhistl,,"

",sean,shaw,child,"stop

togeth",change✊,scumbag,student,law,cc,gun,chang,million,amarch4ourl,true,joni’,laurenhogg,infatu,mouthhhh,countri,violenc,sad,vote,chicago,nope,end,right,demoratssuck,koparafallskid
31,uwe,support,moral,be,sen,"
thursdaythought","
roadtochang",marchforourl,"
fridayfeei",proud,children,prevent,elect,wife,mattxr,rahm,kick,a…,nerv,polic,👍👍👍👍👍🇺🇸,focus,hope,thousand,offic,continu,death,klee34036780,law,vote,expectu,arkansa,nra,nrabloodmoney,gsu18,cc,imcorinnemec,guncontrolnow,andg,chicago,⁦johnjjsjr⁩,script,,unreal,shellydogg,👇🏻,√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√√,fordnat,superstar,gun
32,"are

cdnpoli",onpoli,topoli,stop,supplier,commit,rudygiuliani,ave”,5th,“shoot,task,ford,doug,rap,weekend,forc,creat,ca…,promot,ltltlt,skit,whole,pghgreenfield,ou…,reach,billpeduto,due,address,shoot,speak,juli,t…,sean,shaw,promis,wildnout,still…,without,control,nra,parrpatrick,mrcolionnoir,rapper,crimin,brilliant,chicago,wisconsin,,forkevin,realdonaldtrump
33,district,physicsgeek,conservat…,specif,citi,water,panel,crime,crimin,hypocrisi,poli…,protest,end,well,disagre,wesleyjordan,trinityresist,weboften,elect,dude,thread,demand,everytown,momsdemand,finger,surpris,smh,discuss,backtoschool,hold,protect,emoji,limb,effect,warn,evan,dandad,ceasefir,baltimor,tackl,shooter,meianchoiyqueen,done,arm,first,easier,cbsnew,must,effort,govrickett
34,toll,swear,wear,thousand,care,thin,billoreilli,bmack33,mix,posit,male,cgccontrol,33000,creat,change…,duck,soillinoi,sexual,role,western,propoganda,proudli,reform,domest,stalk,dumpbuzzfe,dealt,republican,basic,summar,s…,"as

dont",control,citi,foxnew,pictur,blair,violenc,american,gun,ceasefir,need,cc,tackl,maryland,end,chicago,baltimor,nra,govrickett
35,i’v,curb,fetishized…,“cultur,war”,side,respect,thethuggernaut,joe,torontostar,either,fordnat,idea…,shitti,reason,crazi,city’,youranoncentr,altcybercommand,cjdisabledvet,youranonnew,altusci,redtraccoon,creat,may,daughter,same…,force”,“space,penc,mani,grand,about…,gun,violenc,fals,buxoherb,allegi,33000,change…,lost,citi,kid,ppl,tackl,ceasefir,chicago,baltimor,,tragic
