,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
350,lost,obama,far,rna,polit,senseless,celebr,violenc,die,danaloesch,hyster,demonstration…,anti,threaten,protestor,arrest,☠️,journalist,danger,continu,bitch,behavior,there’,bad,radic,would,84,dish,crybabi,"

boofuckinghoofory",normal,arm,the…,wtf,ground,shot,to…,joaquin,chicago,gun,um,cant,desesquerdizada,ryanrodriguesz,prevent,nevei,thequart,nice,fbi,nra
351,arrest,street,protestor,threaten,fbi,differ,america,um,town,testifi,murder,toddcs1992,are…,given,admins’,chosen,blink,pull,ray,game,violenc,murphi,erin,"
end",bitch,peopl,delic,tough,soul,famili,still,awpoor,favorit,support,anti,appar,brainwash,care,slushey,proud,dont,protest,nra,racist,realli,case,chicago,homeschool,gosh,aliv
352,flint,how’,probabl,medi…,embarrass,brief,fakenewsmsm,na…,defendpdx,insult,legend,built,hollykerstin,cali,resid,trigger,trigg…,"
end",hall,town,stem,embarrassingli,seriou,control…,exist,protestor,threaten,arrest,demonstration…,13,student,fatal,friday,cultur,stupid,silenc,happen,immigr,shot,chicago,public,incit,fire,anti,stole,scotu,thoma,sue,nra,endgunviol
353,thechatweet,rahmemanuel,usmcdta,viol…,proverb,seriou,gener,hoo,boo,sec…,rampant,ownership,irrespons,tictoc,control…,news,declin,thealanvarga,steadi,30,arrest,street,gun,africa,roytd67,salswag5,protestor,threaten,babi,crybabi,cdc,ban,littl,heart,fight,memori,guac,chicago,anti,nasirk,wonder,america,,loesch,dana,nra,poor,lt33,davidnoriega81,potus45
354,violenc,ground,defens,others…,"

wrestl",poppin,bronx,respect,2a,fire,reduc,princip,america,public,street,involv,o…,dp,mathuraroad,“regular”,teacher,san,chronicl,francisco,mother,griev,threaten,arrest,protestor,creat,american,33000,change…,student,citi,shut,militari,histor,speak,lynch,russia,prayer,🙏🏾,ampamp,anti,africanamerican,march,chicago,,end
355,healthcarer,educationfre,co…,livingfre,npr,peopl…,technolog,facial,combat,independ,recognit,could,jump,explain,agbecerra,feast,23m,autumn,i…,therickydavila,price,accompani,w…,threaten,march,africanamerican,"chicago
peacemarch
chicagogunviol",illeg,violenc,safeti,public,cnn,claim,kill,arrest,protestor,anti,demonstration…,shoot,gun,bring,"
கள்ளதுப்பாக்கிதிமுக",godbless316,erick407a,kylekashuv,shut,chicago,goat,beyonc,children
356,away,politician,john,skewer,oliv,school,shoot,morganbsach,k…,deter,oppos,strictli,kylekashuv,nra,stay,neglible…,percentag,jackposobiec,ad,mess,plea…,burn,a…,"excuses
34249incid",violenc,march,earth,risk,drug,s…,anti,lt,thousand,arsehol,murder,instead,threat,africanamerican,prayer,fun,move,blame,,hoo,gun,boo,liber,chicago,week,hero
357,complic,compar,minuscul,alisakasm,fo…,michaelskolnik,sunningcham88,came,protest,still,victim,aliv,mrroughton,kitchenmm,solv,today’,idea,viol…,danaloesch,"nra

totsandpear",dana,tot,pear,law,radio,connect,iowawatch,kxel1540,reduc,davidhogg111,cri,violenc,gun,jasonkand,mayor,kc,nra,truth,mtv,mevcri,everytim,american,foxnew,harleyrouda,elect,katieporteroc,don’t,chicago,care,amazingli
358,fight,toronto,abort,form,prevent,school,problem…,slightli,push,protest,rape,atheistrepubl,water,junereevesart,social,this…,merchant,snowflak,murder,control,reduc,remind,skern0223,use,stand,impact,clean,viole…,headey,"click

it",wound,flint,nra,zili,student,thursday,senrobportman,who’,charlottesvil,unmitig,gall,bradwenstrup,understand,cunt,ralli,disgust,thoughtsandpray,🎻🎻🎻🎻🎻🎻🎻🎻🎻🎻,sad,92
359,candid,distinct,dispr…,plagu,togeth,america,suffer,end…,health,benfergusonshow,sb,charg,client,bad,amermedicalassn,⁦jessicahbeard⁩,lucki,⁦…,kill…,waaay,annez1,citi,shoot,violenc,wet,wipe,bloke,anoth,rock,home,write,bc…,american,cnn,blame,peopl,victim,pertain,thetrigg,nra,mani,ladi,cancelgun,repealthesecond,lost,gun,,hahahahaha,sue,sum
360,accus,answer…,gunown,easier,crimin,crime,address,❤️,prevent,fordnat,victorfed,where’,seen,town,boo,"
end",murder,parent,resid,especi,joaquin,glorifi,law,enforc,caus,dam,threat,commun,promot,kristinrodham,wow,wont,gunviol,alabama,kno…,children,chicago,join,victim,violenc,tast,reduc,nra,senmikele,si,pour,gun,unsuccess,johnstossel,"teamangie

turncd2blu"
361,control…,couldnt,condon,bribe,kcamexico,trogain,celebr,polit,rid,backfir,boo,tori,john,sta…,leader,put,left,bla,salemnoir,bluewave2018,juliussmalema,toronto,miss,concern,victim,violenc,lost,usa,let’,speedread,end,guy’,pension,democrat,carri,thay,gotv,expectu,blm,8new,heart,,don’t,taxpay,control,vote,chicago,bump,👏🏾😢,behind
